,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
0,3.79,0.06,2.96,340.99,2017-03-27 06:52:16,0,4.80929308735,3.79047490428,37.9864478412,24.5130863524
1,3.5,1.4,2.54,340.99,2017-03-27 06:52:16,0,4.54550327247,3.76961536499,33.9724364489,24.5130863524
2,2.98,-0.27,2.66,341.04,2017-03-27 06:52:16,0,4.0036108702,2.99220654367,41.6363294396,24.5130863524
3,3.0,-0.17,2.57,341.02,2017-03-27 06:52:17,1,3.95396004026,3.00481280615,40.5401903274,22.6414358343
4,3.13,0.82,2.28,341.0,2017-03-27 06:52:17,1,3.95824456041,3.23562976868,35.1705983737,22.6414358343
5,3.13,0.48,2.62,340.98,2017-03-27 06:52:17,1,4.10995133791,3.16659122717,39.603951952,22.6414358343
6,3.25,1.45,1.92,340.93,2017-03-27 06:52:17,1,4.0436864369,3.55879192985,28.347257476,22.6414358343
7,3.2,0.34,1.3,340.98,2017-03-27 06:52:18,2,3.47067716736,3.21801180856,21.9975331264,21.2156535701
8,4.36,1.45,1.49,340.92,2017-03-27 06:52:18,2,4.83034160283,4.59479052841,17.9668567979,21.2156535701
9,4.94,1.67,1.83,340.93,2017-03-27 06:52:18,2,5.52642741742,5.21464284491,19.337750795,21.2156535701
10,3.79,1.1,1.09,341.04,2017-03-27 06:52:18,2,4.09416658186,3.94640342591,15.4401980438,21.2156535701
11,3.86,0.65,1.34,340.99,2017-03-27 06:52:19,3,4.13735422704,3.91434541143,18.8976419096,20.4598607423
12,3.85,-0.25,1.57,340.99,2017-03-27 06:52:19,3,4.16532111607,3.85810834477,22.1431367733,20.4598607423
13,2.46,0.22,2.55,340.95,2017-03-27 06:52:19,3,3.55,2.46981780705,45.9151150043,20.4598607423
14,2.6,0.71,2.08,341.01,2017-03-27 06:52:19,3,3.4044823395,2.69519943603,37.6588958423,20.4598607423
15,3.32,0.38,1.67,341.09,2017-03-27 06:52:20,4,3.73573285983,3.34167622609,26.5535539154,19.9242019928
16,2.38,0.01,2.76,340.99,2017-03-27 06:52:20,4,3.64446155145,2.38002100831,49.2279325798,19.9242019928
17,4.14,4.43,2.42,340.88,2017-03-27 06:52:20,4,6.52846842682,6.06337364839,21.7578189449,19.9242019928
18,1.26,1.16,2.1,341.06,2017-03-27 06:52:20,4,2.70983394325,1.71265875177,50.8009741912,19.9242019928
19,4.28,3.61,1.37,340.88,2017-03-27 06:52:21,5,5.76432129569,5.59915172147,13.7489986963,19.2986971116
20,4.64,3.66,4.13,340.9,2017-03-27 06:52:21,5,7.20986130241,5.90975464804,34.9475660521,19.2986971116
21,2.62,4.8,2.17,341.13,2017-03-27 06:52:21,5,5.88330689324,5.46849156532,21.644106231,19.2986971116
22,4.39,3.61,2.5,340.86,2017-03-27 06:52:21,5,6.20920284739,5.6836783864,23.7425814259,19.2986971116
23,1.63,3.43,2.75,340.96,2017-03-27 06:52:22,6,4.6887418355,3.79760450811,35.9098272849,18.5127064558
24,4.25,1.93,2.18,341.02,2017-03-27 06:52:22,6,5.15167933785,4.66769750519,25.0344415552,18.5127064558
25,4.27,2.14,1.93,341.0,2017-03-27 06:52:22,6,5.15144639883,4.77624329364,22.002809594,18.5127064558
26,3.38,1.53,2.68,340.98,2017-03-27 06:52:22,6,4.57686573978,3.71016172154,35.8421056932,18.5127064558
27,3.6,2.55,2.7,340.85,2017-03-27 06:52:23,7,5.17228189487,4.41163235096,31.4673976,17.8225960502
28,4.78,1.13,2.16,340.95,2017-03-27 06:52:23,7,5.36571523657,4.9117512152,23.738053864,17.8225960502
29,4.39,1.78,1.77,340.96,2017-03-27 06:52:23,7,5.05701492978,4.73714048768,20.4878566629,17.8225960502
30,4.68,0.85,1.46,341.02,2017-03-27 06:52:23,7,4.97559041723,4.75656388583,17.0635677713,17.8225960502
31,3.3,0.9,2.29,341.07,2017-03-27 06:52:24,8,4.11632117309,3.4205262753,33.8018187483,17.2405937943
32,3.62,0.19,2.11,340.96,2017-03-27 06:52:24,8,4.19435334706,3.62498275858,30.2024752091,17.2405937943
33,3.82,0.22,2.03,340.97,2017-03-27 06:52:24,8,4.33147780786,3.82632983419,27.9474932511,17.2405937943
34,3.71,0.23,1.81,340.95,2017-03-27 06:52:24,8,4.13438024376,3.71712254304,25.9631083439,17.2405937943
35,3.95,0.6,1.96,340.94,2017-03-27 06:52:25,9,4.45017977165,3.99530975019,26.1314250638,16.815246936
36,3.29,0.57,2.11,341.05,2017-03-27 06:52:25,9,3.94982278083,3.33901182987,32.2897537808,16.815246936
37,3.31,-0.02,1.77,340.99,2017-03-27 06:52:25,9,3.75358495308,3.31006042241,-28.1349058486,16.815246936
38,3.56,-0.06,2.73,341.02,2017-03-27 06:52:25,9,4.486657999,3.56050558208,37.4790076476,16.815246936
39,3.58,0.17,1.92,340.97,2017-03-27 06:52:26,10,4.06591933024,3.58403404002,28.1783635937,16.303801503
40,3.39,1.27,1.38,340.98,2017-03-27 06:52:26,10,3.87419669093,3.62008287198,20.8671838345,16.303801503
41,3.54,1.71,2.15,341.05,2017-03-27 06:52:26,10,4.48087045115,3.93137380568,28.6734824905,16.303801503
42,3.35,1.73,2.58,340.97,2017-03-27 06:52:26,10,4.56856651478,3.77033155041,34.3834443203,16.303801503
43,3.72,0.3,2.01,341.0,2017-03-27 06:52:27,11,4.23892675096,3.73207716962,28.3057539958,16.3733840829
