,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
0,2.522,-0.932,0.517,339.3,2017-03-27 06:52:16,0,2.73795489371,2.68870005765,10.884341253,19.4662359532
1,2.241,-1.7,0.503,339.26,2017-03-27 06:52:16,0,2.85746216073,2.81284215697,10.1386223701,19.4662359532
2,3.338,-1.646,0.156,339.22,2017-03-27 06:52:16,0,3.72503637566,3.72176839688,2.40017960471,19.4662359532
3,3.551,-1.778,0.242,339.21,2017-03-27 06:52:17,1,3.97862400837,3.97125735756,3.48717109089,19.1112060606
4,3.385,-1.903,0.268,339.17,2017-03-27 06:52:17,1,3.89248737956,3.88325044261,3.94797081,19.1112060606
5,2.876,-1.717,0.267,339.21,2017-03-27 06:52:17,1,3.3601717218,3.3495469843,4.55754011761,19.1112060606
6,3.233,-1.469,0.034,339.24,2017-03-27 06:52:17,1,3.55125414466,3.55109138153,0.548562898096,19.1112060606
7,3.161,-1.157,0.13,339.25,2017-03-27 06:52:18,2,3.36860059966,3.36609120494,2.21169034723,18.016198353
8,3.096,-1.406,-0.003,339.21,2017-03-27 06:52:18,2,3.40030307473,3.40030175132,-0.0505506000707,18.016198353
9,3.142,-1.048,-0.069,339.2,2017-03-27 06:52:18,2,3.31288831686,3.31216968164,-1.19342829949,18.016198353
10,2.509,-1.718,-0.009,339.18,2017-03-27 06:52:18,2,3.0408363981,3.04082307937,-0.169579254182,18.016198353
11,2.72,-1.62,0.153,339.2,2017-03-27 06:52:19,3,3.16957552363,3.16588060419,2.76682546209,17.0559149504
12,2.565,-1.717,-0.102,339.21,2017-03-27 06:52:19,3,3.08831960781,3.08663473706,-1.89269028818,17.0559149504
13,2.798,-1.154,-0.165,339.21,2017-03-27 06:52:19,3,3.03112932749,3.02663509528,-3.12044711105,17.0559149504
14,2.437,-0.62,0.55,339.21,2017-03-27 06:52:19,3,2.57407633919,2.51463098684,12.3374449444,17.0559149504
15,1.704,-1.217,0.37,339.22,2017-03-27 06:52:20,4,2.12640659329,2.09396871992,10.0206132763,16.2400902281
16,2.233,-1.106,1.06,339.17,2017-03-27 06:52:20,4,2.70797433518,2.49189185159,23.0439122913,16.2400902281
17,1.585,-1.289,1.093,339.19,2017-03-27 06:52:20,4,2.31697971506,2.04297479182,28.1469662536,16.2400902281
18,1.583,-1.036,1.245,339.15,2017-03-27 06:52:20,4,2.26477592711,1.89187341014,33.3480293452,16.2400902281
19,1.578,-1.19,0.703,339.17,2017-03-27 06:52:21,5,2.09771137195,1.97640684071,19.5802690792,15.9333656763
20,1.589,-1.317,0.132,339.26,2017-03-27 06:52:21,5,2.06805077307,2.06383381114,3.65957537919,15.9333656763
