,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
0,3.51,-0.29,1.46,339.69,2017-03-27 06:52:16,0,3.81258442529,3.52195968177,22.5160574582,8.12484674644
1,3.35,-0.35,2.62,339.63,2017-03-27 06:52:16,0,4.26724735632,3.36823395862,37.8777655176,8.12484674644
2,3.56,-0.69,1.64,339.67,2017-03-27 06:52:17,1,3.97986180665,3.6262515081,24.33522532,9.2275662272
3,3.19,-0.82,1.73,339.71,2017-03-27 06:52:17,1,3.72040320396,3.29370611925,27.71043967,9.2275662272
4,3.63,1.41,1.5,339.63,2017-03-27 06:52:17,1,4.17312832297,3.89422649572,21.065966743,9.2275662272
5,4.06,-0.29,1.73,339.69,2017-03-27 06:52:17,1,4.42273670932,4.07034396581,23.0267297607,9.2275662272
6,4.29,-0.67,1.02,339.71,2017-03-27 06:52:18,2,4.46020178916,4.34200414555,13.2199120327,8.67041876333
7,4.16,-0.17,1.1,339.69,2017-03-27 06:52:18,2,4.30633254638,4.16347210871,14.7995268608,8.67041876333
8,3.76,-0.44,0.99,339.69,2017-03-27 06:52:18,2,3.91296562724,3.78565714243,14.6554061197,8.67041876333
9,3.98,-0.51,1.04,339.66,2017-03-27 06:52:18,2,4.14512967228,4.01254283466,14.5305898042,8.67041876333
10,3.94,-0.6,1.01,339.71,2017-03-27 06:52:19,3,4.11141095003,3.98542344049,14.220708558,9.49246251948
11,3.78,-0.98,0.95,339.65,2017-03-27 06:52:19,3,4.01886799982,3.90497119067,13.6732762038,9.49246251948
12,3.96,0.2,0.29,339.61,2017-03-27 06:52:19,3,3.97563831353,3.96504728849,4.18311355103,9.49246251948
13,3.25,0.8,1.31,339.6,2017-03-27 06:52:19,3,3.59424540064,3.34701359424,21.3750613208,9.49246251948
14,2.98,-0.51,1.57,339.67,2017-03-27 06:52:20,4,3.40666992824,3.02332598309,-27.4426554025,9.58831458644
15,3.09,-0.13,1.82,339.66,2017-03-27 06:52:20,4,3.58850943986,3.09273341884,30.4757982927,9.58831458644
16,3.21,-1.39,1.39,339.64,2017-03-27 06:52:20,4,3.76408023294,3.4980280159,21.6712272729,9.58831458644
17,3.24,-1.51,1.36,339.65,2017-03-27 06:52:20,4,3.82456533478,3.57459088568,20.8299740978,9.58831458644
18,3.73,-1.63,1.56,339.71,2017-03-27 06:52:21,5,4.35928893284,4.07060192109,20.9686162611,9.2303934334
19,3.76,-1.67,1.76,339.71,2017-03-27 06:52:21,5,4.47482960569,4.11418278641,-23.1606810963,9.2303934334
