,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
0,4.17,-1.02,1.09,338.68,2017-03-27 06:52:16,0,4.42915341798,4.29293605822,14.2466540124,8.24780597536
1,4.31,-0.64,1.62,338.66,2017-03-27 06:52:16,0,4.64866647545,4.35725831229,20.3948033517,8.24780597536
2,4.13,-0.52,1.45,338.63,2017-03-27 06:52:16,0,4.40792468175,4.16260735597,19.2052385199,8.24780597536
3,3.84,-0.48,1.57,338.65,2017-03-27 06:52:17,1,4.17623035763,3.86988371918,22.0822442238,8.22079410654
4,4.08,-0.68,0.96,338.71,2017-03-27 06:52:17,1,4.24622185007,4.1362785206,13.0665903694,8.22079410654
5,4.15,-0.65,1.02,338.71,2017-03-27 06:52:17,1,4.32266121735,4.20059519592,13.6485573114,8.22079410654
6,4.05,-0.32,0.72,338.73,2017-03-27 06:52:17,1,4.12593019815,4.06262230585,10.0499176422,8.22079410654
7,4.0,-0.68,0.73,338.7,2017-03-27 06:52:18,2,4.1225356275,4.05738832255,-10.1994612554,8.24824255779
8,3.9,-1.09,0.84,338.69,2017-03-27 06:52:18,2,4.13566197845,4.04945675369,11.7189631586,8.24824255779
9,3.96,-1.04,1.01,338.68,2017-03-27 06:52:18,2,4.21702501771,4.09428870501,13.8573468286,8.24824255779
10,3.94,-0.72,1.04,338.71,2017-03-27 06:52:18,2,4.13806718167,4.0052465592,14.5559365114,8.24824255779
11,3.9,-1.11,1.06,338.67,2017-03-27 06:52:19,3,4.19114542816,4.05488594168,-14.650024057,8.41546711933
12,4.36,-1.35,0.74,338.66,2017-03-27 06:52:19,3,4.62381876807,4.56421953898,9.20926874094,8.41546711933
13,4.86,-1.17,1.05,338.59,2017-03-27 06:52:19,3,5.1079350035,4.99884986772,11.8624305091,8.41546711933
14,4.13,-0.75,1.49,338.56,2017-03-27 06:52:19,3,4.45415536325,4.19754690266,-19.5432967326,8.41546711933
15,4.48,-0.67,1.86,338.58,2017-03-27 06:52:20,4,4.8968255023,4.52982339612,22.3236432435,8.10942299301
16,4.36,-0.8,2.21,338.61,2017-03-27 06:52:20,4,4.95315051255,4.43278693375,-26.4989022786,8.10942299301
17,3.24,-0.5,1.34,338.69,2017-03-27 06:52:20,4,3.5416380391,3.27835324515,22.2318865987,8.10942299301
18,3.66,-1.77,1.43,338.63,2017-03-27 06:52:20,4,4.30968676356,4.06552579625,19.3787119493,8.10942299301
19,3.72,-1.71,1.37,338.66,2017-03-27 06:52:21,5,4.31733714227,4.09420321919,18.5012429959,7.8994883522
20,3.85,-1.71,1.28,338.69,2017-03-27 06:52:21,5,4.40283999255,4.2126713615,-16.9011527489,7.8994883522
21,2.91,-1.09,2.5,338.69,2017-03-27 06:52:21,5,3.98825776499,3.10744267847,-38.817375624,7.8994883522
22,2.85,-0.15,2.32,338.56,2017-03-27 06:52:21,5,3.67796139186,2.85394463857,39.1080044369,7.8994883522
23,3.19,-1.41,2.29,338.67,2017-03-27 06:52:22,6,4.17232549066,3.48772131914,33.2884685516,7.7361375938
24,3.44,-1.98,2.05,338.65,2017-03-27 06:52:22,6,4.46726985977,3.96913088723,27.3157142022,7.7361375938
25,3.2,-1.64,0.79,338.67,2017-03-27 06:52:22,6,3.68153500595,3.59577529888,12.3911464297,7.7361375938
26,3.86,-2.01,0.79,338.69,2017-03-27 06:52:22,6,4.42309846149,4.35197656244,-10.2886800991,7.7361375938
27,3.69,-1.16,0.43,338.69,2017-03-27 06:52:23,7,3.89186330695,3.86803567719,6.34338527582,8.04431812599
28,4.09,-1.92,1.92,338.6,2017-03-27 06:52:23,7,4.90926674769,4.5182408081,23.0227815545,8.04431812599
29,4.17,-0.92,0.66,338.69,2017-03-27 06:52:23,7,4.3209836843,4.2702810212,-8.785920892,8.04431812599
30,4.2,-1.07,0.82,338.69,2017-03-27 06:52:23,7,4.41104296057,4.3341550503,10.7134385212,8.04431812599
31,4.1,-1.09,1.12,338.63,2017-03-27 06:52:24,8,4.38776708589,4.24241676406,14.7887025405,8.10561033995
32,3.52,-1.15,0.96,338.67,2017-03-27 06:52:24,8,3.82550650241,3.70309330155,-14.5335674221,8.10561033995
33,3.52,-1.08,0.79,338.66,2017-03-27 06:52:24,8,3.76575357664,3.68195600191,12.1097745639,8.10561033995
34,3.87,-0.67,0.62,338.69,2017-03-27 06:52:24,8,3.97620422011,3.92756922281,-8.97059823839,8.10561033995
35,4.07,-1.26,0.59,338.71,2017-03-27 06:52:25,9,4.30123238154,4.26057507855,7.88411864071,9.84110234127
36,4.16,-1.32,0.83,338.68,2017-03-27 06:52:25,9,4.44262309903,4.36440144808,10.7676436097,9.84110234127
37,3.75,-0.81,1.15,338.68,2017-03-27 06:52:25,9,4.00513420499,3.8364827642,16.6862979345,9.84110234127
38,3.76,-1.07,1.14,338.66,2017-03-27 06:52:25,9,4.07211247389,3.90928382188,-16.257398107,9.84110234127
39,3.71,-1.06,1.25,338.65,2017-03-27 06:52:26,10,4.05588461374,3.85845824132,17.9504365581,10.5302571131
40,3.89,-1.06,1.21,338.63,2017-03-27 06:52:26,10,4.20948928019,4.03183581015,-16.7051012281,10.5302571131
41,3.62,-0.95,1.28,338.66,2017-03-27 06:52:26,10,3.9554140112,3.74257932448,-18.8812070261,10.5302571131
42,3.72,-1.16,1.16,338.65,2017-03-27 06:52:26,10,4.06566107786,3.89666524095,16.5777654583,10.5302571131
43,3.57,-1.13,1.08,338.64,2017-03-27 06:52:27,11,3.89720412604,3.74456940115,16.0884961811,11.0143145991
44,3.78,-1.3,1.13,338.66,2017-03-27 06:52:27,11,4.15394992748,3.99729908813,15.7851138069,11.0143145991
45,3.9,-1.13,1.11,338.63,2017-03-27 06:52:27,11,4.20939425571,4.0604063836,-15.2894772653,11.0143145991
46,4.2,-0.93,1.48,338.62,2017-03-27 06:52:27,11,4.5492087224,4.30173220924,-18.9856480663,11.0143145991
47,4.1,-1.01,1.41,338.58,2017-03-27 06:52:28,12,4.45176369544,4.22257030729,-18.4651874035,10.7331926426
48,4.19,-1.2,1.56,338.61,2017-03-27 06:52:28,12,4.6292223969,4.3584515599,19.6935725739,10.7331926426
49,4.47,-1.55,1.42,338.66,2017-03-27 06:52:28,12,4.93961536964,4.73110980638,16.7066552868,10.7331926426
50,4.54,-1.3,1.18,338.72,2017-03-27 06:52:28,12,4.86764830283,4.72245698763,-14.0292292065,10.7331926426
51,4.34,-0.69,0.93,338.75,2017-03-27 06:52:29,13,4.49183704068,4.39450793605,11.9490759911,10.5332927543
52,4.33,-0.64,0.78,338.76,2017-03-27 06:52:29,13,4.44599820063,4.37704238042,-10.1041868484,10.5332927543
53,4.44,-1.04,0.88,338.76,2017-03-27 06:52:29,13,4.64430834463,4.56017543522,-10.9223946139,10.5332927543
54,4.74,-1.19,0.99,338.72,2017-03-27 06:52:29,13,4.98636139886,4.88709525178,11.4516867206,10.5332927543
55,4.59,-1.28,0.96,338.75,2017-03-27 06:52:30,14,4.86087440694,4.76513378616,11.3905308871,10.5868049024
56,4.58,-1.6,1.14,338.75,2017-03-27 06:52:30,14,4.98357301542,4.85143277806,-13.2235808105,10.5868049024
57,5.33,-2.15,0.39,338.7,2017-03-27 06:52:30,14,5.76051213001,5.74729501592,3.8820263172,10.5868049024
58,4.94,-2.6,0.28,338.71,2017-03-27 06:52:30,14,5.5894543562,5.58243674393,2.87139577211,10.5868049024
59,4.86,-2.71,-0.42,338.72,2017-03-27 06:52:31,15,5.58033153137,5.56450357175,-4.31641111217,11.3549182066
60,4.82,-1.83,-0.51,338.73,2017-03-27 06:52:31,15,5.18086865303,5.15570557732,-5.64929346901,11.3549182066
61,4.81,-2.07,-0.33,338.71,2017-03-27 06:52:31,15,5.2468943195,5.23650646901,-3.60596074484,11.3549182066
62,4.0,-2.14,-0.38,338.76,2017-03-27 06:52:31,15,4.55236202427,4.536474402,-4.78823078457,11.3549182066
63,4.03,-1.4,-0.68,338.75,2017-03-27 06:52:32,16,4.32010416541,4.26625128186,-9.05622457472,11.963377249
64,3.8,-1.98,-0.81,338.73,2017-03-27 06:52:32,16,4.36079121261,4.28490373287,-10.7046352792,11.963377249
65,2.53,-1.97,-1.08,338.77,2017-03-27 06:52:32,16,3.38351887833,3.20652459838,-18.6142076429,11.963377249
66,2.69,-1.91,-0.97,338.71,2017-03-27 06:52:32,16,3.43876431295,3.29912109508,-16.3842696395,11.963377249
67,3.53,-2.65,-0.57,338.68,2017-03-27 06:52:33,17,4.45065163768,4.4140004531,-7.35814468176,11.7642527444
68,4.02,-1.94,-0.47,338.76,2017-03-27 06:52:33,17,4.4883070305,4.46363080911,-6.01083569015,11.7642527444
69,3.89,-1.31,-0.43,338.76,2017-03-27 06:52:33,17,4.12711763826,4.10465589301,-5.98043977902,11.7642527444
70,4.21,-1.1,-0.23,338.72,2017-03-27 06:52:33,17,4.35740748611,4.35133312905,-3.02568815739,11.7642527444
71,4.11,-1.44,0.24,338.73,2017-03-27 06:52:34,18,4.36157081795,4.35496268641,3.15435343983,11.5734111684
72,4.25,-1.49,1.19,338.74,2017-03-27 06:52:34,18,4.65818634234,4.50362076556,14.8010948557,11.5734111684
