,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
0,2.66,-1.29,1.09,341.09,2017-03-27 06:52:16,0,3.15084115753,2.95629836113,20.2391488498,9.23829466929
1,2.72,-1.38,0.98,341.05,2017-03-27 06:52:16,0,3.2036229491,3.05004917993,17.8125387843,9.23829466929
2,2.57,-1.16,0.65,341.09,2017-03-27 06:52:16,0,2.8936136577,2.81966310044,12.9812754957,9.23829466929
3,3.08,-1.5,0.68,340.99,2017-03-27 06:52:17,1,3.49267805559,3.42584296196,11.2267905934,9.33759186223
4,2.81,-0.95,0.39,341.1,2017-03-27 06:52:17,1,2.99177205014,2.9662434155,7.49025280314,9.33759186223
5,2.63,-0.64,0.98,341.07,2017-03-27 06:52:17,1,2.87869762219,2.70675081971,-19.9031793227,9.33759186223
6,2.89,-0.71,1.1,341.06,2017-03-27 06:52:17,1,3.17272753321,2.97593682729,20.2859004856,9.33759186223
7,2.99,-0.82,0.73,341.1,2017-03-27 06:52:18,2,3.18518445306,3.10040319959,13.2491587508,9.05032348815
8,3.14,-1.07,0.55,341.04,2017-03-27 06:52:18,2,3.3625882888,3.31730312151,9.41385225668,9.05032348815
9,2.91,-0.96,0.42,341.08,2017-03-27 06:52:18,2,3.09291124994,3.06426173817,7.80455817611,9.05032348815
10,2.89,-0.81,0.63,341.07,2017-03-27 06:52:18,2,3.06677354886,3.00136635551,-11.8545328238,9.05032348815
11,2.81,-0.95,0.49,341.08,2017-03-27 06:52:19,3,3.00644308112,2.9662434155,9.38009997074,8.93803781859
12,2.77,-1.1,0.29,341.07,2017-03-27 06:52:19,3,2.99449494907,2.98041943357,5.55748443104,8.93803781859
13,2.6,-0.99,0.29,341.08,2017-03-27 06:52:19,3,2.79717714848,2.78210352072,-5.95088777723,8.93803781859
14,2.74,-0.88,0.42,341.07,2017-03-27 06:52:19,3,2.90833285578,2.87784641703,-8.30326744749,8.93803781859
