,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
0,4.54,-1.62,0.51,340.01,2017-03-27 06:52:16,0,4.84727758644,4.82037342952,6.03947875047,6.12693412929
1,4.88,-1.81,0.97,340.0,2017-03-27 06:52:16,0,5.29446881188,5.20485350418,10.5567934192,6.12693412929
2,4.81,-1.65,1.27,340.02,2017-03-27 06:52:16,0,5.24132616806,5.08513519978,14.0226285718,6.12693412929
3,4.35,-1.25,1.71,340.0,2017-03-27 06:52:17,1,4.83829515429,4.52603579305,20.6972703605,7.00317294379
4,4.52,-2.16,1.13,339.99,2017-03-27 06:52:17,1,5.13545518917,5.00959080165,12.7113188079,7.00317294379
5,4.67,-2.51,1.16,339.97,2017-03-27 06:52:17,1,5.42720922759,5.30179214983,12.3414899311,7.00317294379
6,4.32,-2.44,1.06,340.01,2017-03-27 06:52:17,1,5.07342093661,4.96145140055,12.0597722606,7.00317294379
7,4.39,-2.04,1.05,340.0,2017-03-27 06:52:18,2,4.95340287075,4.84083670454,12.2381461692,8.41323262804
8,4.32,-2.01,1.04,339.98,2017-03-27 06:52:18,2,4.87689450368,4.76471405228,-12.3129058965,8.41323262804
9,4.4,-3.18,1.45,340.01,2017-03-27 06:52:18,2,5.61915474071,5.42884886509,14.9541459624,8.41323262804
10,4.51,-3.15,1.1,339.98,2017-03-27 06:52:18,2,5.6100445631,5.50114533529,11.3076384271,8.41323262804
11,4.95,-2.94,0.97,339.96,2017-03-27 06:52:19,3,5.83840731707,5.75726497566,-9.56353552941,8.01297767431
12,4.49,-2.46,0.53,340.01,2017-03-27 06:52:19,3,5.14709626877,5.11973632134,5.91026127319,8.01297767431
13,4.37,-2.54,0.53,339.98,2017-03-27 06:52:19,3,5.08226327535,5.05455240353,-5.9859305595,8.01297767431
14,4.15,-1.91,0.63,340.04,2017-03-27 06:52:19,3,4.61166997952,4.56843518067,7.85172574429,8.01297767431
15,4.25,-1.92,0.83,340.03,2017-03-27 06:52:20,4,4.73685549706,4.66357159267,10.0915614939,7.70610735487
16,4.31,-1.89,0.97,340.03,2017-03-27 06:52:20,4,4.80511186134,4.70618741658,11.6462363229,7.70610735487
17,4.33,-1.79,1.1,340.01,2017-03-27 06:52:20,4,4.81279544548,4.68540286422,-13.2121545586,7.70610735487
18,4.29,-1.75,1.09,340.01,2017-03-27 06:52:20,4,4.7596953684,4.63320623327,13.2385727548,7.70610735487
19,4.41,-1.91,0.91,340.02,2017-03-27 06:52:21,5,4.89124728469,4.80585060109,-10.7221584383,7.36565629536
20,4.35,-2.44,0.68,340.0,2017-03-27 06:52:21,5,5.03373618697,4.98759461063,7.76373892723,7.36565629536
21,4.49,-1.86,0.33,340.01,2017-03-27 06:52:21,5,4.87120108392,4.86001028805,-3.88448337223,7.36565629536
22,4.59,-1.65,0.39,340.0,2017-03-27 06:52:21,5,4.89312783401,4.87756086584,-4.57152999565,7.36565629536
23,4.52,-2.04,0.52,340.0,2017-03-27 06:52:22,6,4.98622101395,4.95903216364,5.98611189596,7.37260850756
24,4.78,-2.39,0.81,339.98,2017-03-27 06:52:22,6,5.40523820012,5.34420246622,8.61850256728,7.37260850756
25,5.0,-2.66,0.53,340.01,2017-03-27 06:52:22,6,5.6882774194,5.66353246658,5.34623597868,7.37260850756
26,5.27,-2.79,0.65,339.98,2017-03-27 06:52:22,6,5.9982914234,5.96296905912,6.22102695121,7.37260850756
27,5.43,-3.14,1.4,340.0,2017-03-27 06:52:23,7,6.42685770809,6.27251943002,12.5819536719,9.81446009233
28,5.1,-2.57,1.29,340.01,2017-03-27 06:52:23,7,5.85482706833,5.71094563098,12.7284759292,9.81446009233
29,5.17,-2.32,1.14,340.0,2017-03-27 06:52:23,7,5.78021625893,5.66668333331,11.3746994333,9.81446009233
30,5.05,-2.12,1.01,339.99,2017-03-27 06:52:23,7,5.56929079866,5.47694257775,10.4484987036,9.81446009233
31,5.34,-1.0,1.2,340.03,2017-03-27 06:52:24,8,5.56377569641,5.4328261522,12.4554756889,11.8149969444
32,5.01,-0.83,1.67,340.02,2017-03-27 06:52:24,8,5.34583015069,5.0782871128,18.2035040332,11.8149969444
33,4.48,-1.5,1.74,340.04,2017-03-27 06:52:24,8,5.03467973162,4.72444705759,20.218604382,11.8149969444
34,4.33,-2.51,1.81,340.02,2017-03-27 06:52:24,8,5.32213303103,5.00489760135,19.8823091102,11.8149969444
35,4.36,-2.36,1.51,340.05,2017-03-27 06:52:25,9,5.18259587466,4.95774142125,16.9393816845,13.6270849808
36,3.6,-3.09,1.04,340.07,2017-03-27 06:52:25,9,4.85692289418,4.74427022839,-12.3643355492,13.6270849808
37,3.92,-3.18,0.92,340.01,2017-03-27 06:52:25,9,5.13080890309,5.04765291992,-10.3295111814,13.6270849808
38,4.05,-3.07,1.19,340.01,2017-03-27 06:52:25,9,5.21953063024,5.08206650881,13.1787545832,13.6270849808
39,4.26,-2.87,1.54,340.02,2017-03-27 06:52:26,10,5.36247144515,5.1365844683,16.6892626228,14.291547159
40,4.25,-2.93,1.75,340.01,2017-03-27 06:52:26,10,5.4506788568,5.16211197089,-18.7270973122,14.291547159
41,4.04,-3.12,1.31,340.02,2017-03-27 06:52:26,10,5.26992409813,5.10450781173,14.3935252591,14.291547159
42,4.02,-3.17,1.43,340.03,2017-03-27 06:52:26,10,5.31546799445,5.1195019289,15.6063265589,14.291547159
43,4.2,-2.88,1.75,340.03,2017-03-27 06:52:27,11,5.38487697167,5.09258284174,-18.964618488,15.4887255846
44,3.9,-2.83,1.46,340.05,2017-03-27 06:52:27,11,5.03492800346,4.81859938156,16.856420697,15.4887255846
45,4.62,-1.75,1.21,340.01,2017-03-27 06:52:27,11,5.0863542936,4.94033399681,-13.7621230828,15.4887255846
46,4.15,-1.51,1.04,339.99,2017-03-27 06:52:27,11,4.53698137532,4.41617481538,13.2515840666,15.4887255846
47,3.72,-1.22,1.48,340.0,2017-03-27 06:52:28,12,4.18535542099,3.91494572121,20.7085195548,16.707397378
48,3.01,-1.02,1.5,340.01,2017-03-27 06:52:28,12,3.51432781624,3.17812838004,25.2661812037,16.707397378
49,3.66,-0.34,0.74,340.0,2017-03-27 06:52:28,12,3.74950663421,3.67575842514,11.3825803262,16.707397378
50,4.59,-0.24,0.99,339.98,2017-03-27 06:52:28,12,4.70168055061,4.59627022704,-12.1553479908,16.707397378
51,3.71,-0.15,1.58,339.99,2017-03-27 06:52:29,13,4.03521994444,3.71303110679,23.0511279732,16.6544977886
52,3.36,0.36,1.39,339.97,2017-03-27 06:52:29,13,3.65394307564,3.37923068168,22.3591409004,16.6544977886
53,3.34,0.09,1.92,339.98,2017-03-27 06:52:29,13,3.85358274856,3.34121235482,29.8834719781,16.6544977886
54,3.1,-0.13,2.0,339.97,2017-03-27 06:52:29,13,3.69146312456,3.10272460911,32.8056157408,16.6544977886
55,2.22,-0.02,2.31,340.01,2017-03-27 06:52:30,14,3.20388826272,2.22009008826,46.1370154076,16.8341079737
56,3.19,-0.62,1.57,339.96,2017-03-27 06:52:30,14,3.60907190286,3.24969229313,25.7862410592,16.8341079737
57,3.58,-0.73,1.3,339.97,2017-03-27 06:52:30,14,3.87805363552,3.65366938844,19.5858987096,16.8341079737
58,3.81,-0.59,0.96,339.98,2017-03-27 06:52:30,14,3.97313478251,3.85541178086,13.9823398689,16.8341079737
59,3.8,-0.68,0.86,339.96,2017-03-27 06:52:31,15,3.95499683944,3.86036267726,12.5590945132,16.9068760849
60,3.9,-0.71,0.77,340.0,2017-03-27 06:52:31,15,4.03819266504,3.96410141142,-10.99243362,16.9068760849
61,3.65,-0.97,0.83,339.99,2017-03-27 06:52:31,15,3.86682039924,3.77669167394,-12.394797189,16.9068760849
