,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
0,2.76,-1.38,1.03,340.0,2017-03-27 06:52:16,0,3.25313694762,3.08577380895,18.4584868157,11.3282866847
1,2.93,-1.05,1.06,340.0,2017-03-27 06:52:16,0,3.2880085158,3.11245883507,18.8071359088,11.3282866847
2,3.08,-0.83,1.09,340.02,2017-03-27 06:52:17,1,3.37096425374,3.18987460569,18.8656169727,14.4599575688
3,3.11,-0.9,1.02,340.03,2017-03-27 06:52:17,1,3.3944808145,3.23760714108,17.4869025938,14.4599575688
4,3.13,-1.04,0.75,340.01,2017-03-27 06:52:17,1,3.38245472993,3.29825711551,12.8108089664,14.4599575688
5,3.24,-1.14,0.87,340.01,2017-03-27 06:52:17,1,3.5431765409,3.43470522753,14.2138889464,14.4599575688
6,3.33,-1.02,0.68,340.05,2017-03-27 06:52:18,2,3.54847854721,3.48271445858,11.0480076152,15.2695760934
7,3.44,-0.94,0.51,340.01,2017-03-27 06:52:18,2,3.60240197646,3.56611833791,8.13883333802,15.2695760934
8,3.39,-0.74,0.5,339.99,2017-03-27 06:52:18,2,3.50566684099,3.46982708503,8.19984274317,15.2695760934
9,3.19,-0.89,0.56,340.01,2017-03-27 06:52:18,2,3.35883908516,3.31182729018,9.59741558299,15.2695760934
10,3.09,-1.13,0.96,339.99,2017-03-27 06:52:19,3,3.42733132335,3.29013677527,16.2662514103,15.2115753589
11,3.51,-0.77,0.58,340.01,2017-03-27 06:52:19,3,3.63997252737,3.59346629315,9.16869761181,15.2115753589
12,2.91,-0.87,0.78,340.02,2017-03-27 06:52:19,3,3.13582525023,3.0372685097,14.4028668254,15.2115753589
13,3.32,-0.72,0.38,340.01,2017-03-27 06:52:19,3,3.41836218093,3.39717529721,6.38243941974,15.2115753589
14,3.01,-1.46,0.62,339.99,2017-03-27 06:52:20,4,3.40236682326,3.34539982663,10.4994501293,14.5240855224
15,3.11,-1.3,1.27,339.96,2017-03-27 06:52:20,4,3.60208273087,3.37077142506,-20.6448213234,14.5240855224
16,2.64,-1.03,1.12,340.0,2017-03-27 06:52:20,4,3.04711338811,2.83381368477,21.5652753673,14.5240855224
17,2.45,-0.75,0.81,339.94,2017-03-27 06:52:20,4,2.68721044952,2.56222559506,17.5433817731,14.5240855224
18,2.38,-0.58,0.82,340.0,2017-03-27 06:52:21,5,2.58325376222,2.44965303666,18.5075207388,14.0164479859
