,u_x,u_y,u_z,sos,Time-stamp
0,4.19,0.28,1.34,338.7,2016-12-21 06:52:16
1,2.8,1.38,2.27,338.68,2016-12-21 06:52:16
2,2.86,-0.85,2.82,338.69,2016-12-21 06:52:16
3,4.09,-1.27,0.92,338.77,2016-12-21 06:52:17
4,4.58,-1.45,1.05,338.75,2016-12-21 06:52:17
5,3.99,-1.48,1.49,338.73,2016-12-21 06:52:17
6,3.17,-1.57,1.33,338.77,2016-12-21 06:52:17
7,3.42,-2.05,2.02,338.69,2016-12-21 06:52:18
8,3.78,-1.64,1.73,338.7,2016-12-21 06:52:18
9,3.8,-1.82,1.67,338.78,2016-12-21 06:52:18
10,3.15,-1.95,1.67,338.75,2016-12-21 06:52:18
11,3.78,-1.86,1.37,338.76,2016-12-21 06:52:19
12,2.59,-2.74,1.19,338.76,2016-12-21 06:52:19
13,3.71,-1.88,1.97,338.71,2016-12-21 06:52:19
14,3.67,-2.56,1.99,338.78,2016-12-21 06:52:19
15,3.93,-1.95,0.67,338.72,2016-12-21 06:52:20
16,3.78,-2.36,1.71,338.76,2016-12-21 06:52:20
17,3.22,-2.06,2.14,338.75,2016-12-21 06:52:20
18,2.85,-1.95,2.51,338.69,2016-12-21 06:52:20
19,2.65,-2.62,2.61,338.69,2016-12-21 06:52:21
20,2.21,-2.59,1.82,338.77,2016-12-21 06:52:21
21,3.09,-2.75,0.77,338.74,2016-12-21 06:52:21
22,3.8,-1.97,0.48,338.79,2016-12-21 06:52:21
23,3.14,-2.11,-0.2,338.77,2016-12-21 06:52:22x
24,2.08,-2.23,0.32,338.81,2016-12-21 06:52:22
25,1.19,-2.26,0.6,338.76,2016-12-21 06:52:22
26,0.27,-2.41,2.25,338.79,2016-12-21 06:52:22
27,1.88,-1.9,2.39,338.75,2016-12-21 06:52:23
28,2.33,-1.48,2.28,338.74,2016-12-21 06:52:23
29,2.02,-0.55,2.66,338.68,2016-12-21 06:52:23
30,2.56,0.26,2.48,338.73,2016-12-21 06:52:23
31,2.24,-0.31,2.4,338.67,2016-12-21 06:52:24
32,2.73,-1.81,3.4,338.73,2016-12-21 06:52:24
33,1.36,-2.2,1.72,338.79,2016-12-21 06:52:24
34,2.94,-2.05,1.83,338.73,2016-12-21 06:52:24
35,2.32,-1.21,2.2,338.7,2016-12-21 06:52:25
36,3.31,-2.56,0.97,338.75,2016-12-21 06:52:25
37,3.77,-1.58,0.54,338.75,2016-12-21 06:52:25
38,3.06,-2.13,0.42,338.8,2016-12-21 06:52:25
39,2.8,-2.25,0.72,338.75,2016-12-21 06:52:26
40,3.03,-2.17,1.26,338.73,2016-12-21 06:52:26
41,2.44,-1.34,1.43,338.74,2016-12-21 06:52:26
42,2.92,-1.65,1.47,338.71,2016-12-21 06:52:26
43,0.79,-2.74,2.55,338.71,2016-12-21 06:52:27
44,3.06,-1.36,1.26,338.72,2016-12-21 06:52:27
45,1.8,-2.88,3.09,338.65,2016-12-21 06:52:27
46,1.6,-0.21,2.2,338.72,2016-12-21 06:52:27
47,1.55,-1.34,2.35,338.76,2016-12-21 06:52:28
48,2.21,-0.5,2.62,338.65,2016-12-21 06:52:28
49,2.67,0.32,2.16,338.68,2016-12-21 06:52:28
50,3.55,-0.18,1.3,338.71,2016-12-21 06:52:28
51,4.01,-0.57,1.0,338.73,2016-12-21 06:52:29
52,4.74,-0.34,0.67,338.72,2016-12-21 06:52:29
53,4.08,-0.45,1.61,338.71,2016-12-21 06:52:29
54,3.27,0.05,2.13,338.7,2016-12-21 06:52:29
55,3.72,-0.38,1.78,338.66,2016-12-21 06:52:30
56,4.03,-0.43,1.41,338.66,2016-12-21 06:52:30
57,3.86,-0.57,1.56,338.69,2016-12-21 06:52:30
58,3.84,-0.68,1.03,338.7,2016-12-21 06:52:30
59,3.87,-1.03,1.52,338.69,2016-12-21 06:52:31
60,3.66,-1.61,1.16,338.73,2016-12-21 06:52:31
61,3.46,-1.13,1.58,338.75,2016-12-21 06:52:31
62,3.59,-0.68,1.32,338.75,2016-12-21 06:52:31
63,3.48,-0.76,1.35,338.73,2016-12-21 06:52:32
64,2.43,-0.28,1.93,338.75,2016-12-21 06:52:32
65,3.06,0.79,1.6,338.71,2016-12-21 06:52:32
66,3.45,0.19,1.32,338.75,2016-12-21 06:52:32
67,3.59,0.43,0.69,338.81,2016-12-21 06:52:33
68,3.29,-0.45,0.39,338.82,2016-12-21 06:52:33
69,2.81,-0.74,0.27,338.82,2016-12-21 06:52:33
70,2.52,-0.88,0.01,338.81,2016-12-21 06:52:33
71,2.67,-1.37,0.2,338.82,2016-12-21 06:52:34
72,3.49,-1.0,0.28,338.78,2016-12-21 06:52:34
73,3.68,-0.97,0.72,338.75,2016-12-21 06:52:34
74,3.65,-1.77,0.9,338.76,2016-12-21 06:52:34
75,4.59,-0.83,-0.21,338.78,2016-12-21 06:52:35
76,4.79,-0.77,0.09,338.79,2016-12-21 06:52:35
77,4.5,-0.83,0.33,338.8,2016-12-21 06:52:35
78,3.56,-1.46,0.19,338.84,2016-12-21 06:52:35
79,3.6,-1.93,0.14,338.85,2016-12-21 06:52:36
80,3.41,-1.68,0.39,338.81,2016-12-21 06:52:36
81,3.34,-1.79,-0.27,338.79,2016-12-21 06:52:36
82,3.16,-1.44,-0.3,338.81,2016-12-21 06:52:36
83,3.24,-1.92,0.53,338.82,2016-12-21 06:52:37
84,3.86,-1.87,1.22,338.81,2016-12-21 06:52:37
85,4.45,-1.69,1.16,338.81,2016-12-21 06:52:37
86,4.36,-1.89,0.64,338.75,2016-12-21 06:52:37
87,4.01,-1.92,0.71,338.76,2016-12-21 06:52:38
88,3.8,-1.93,0.86,338.79,2016-12-21 06:52:38
89,4.28,-1.32,1.21,338.79,2016-12-21 06:52:38
90,4.0,-1.93,0.61,338.76,2016-12-21 06:52:38
91,3.3,-2.6,0.51,338.73,2016-12-21 06:52:39
92,3.34,-2.01,0.72,338.77,2016-12-21 06:52:39
93,4.02,-1.66,1.17,338.78,2016-12-21 06:52:39
94,3.69,-0.51,2.04,338.71,2016-12-21 06:52:39
95,3.82,-1.07,2.05,338.7,2016-12-21 06:52:40
96,3.08,-1.92,1.56,338.74,2016-12-21 06:52:40
97,2.95,-1.73,1.33,338.75,2016-12-21 06:52:40
98,2.9,-2.13,1.28,338.75,2016-12-21 06:52:40
99,2.91,-2.35,1.09,338.77,2016-12-21 06:52:41
100,3.21,-1.38,0.45,338.84,2016-12-21 06:52:41
101,2.63,-1.6,1.35,338.77,2016-12-21 06:52:41
102,3.03,-1.75,1.37,338.75,2016-12-21 06:52:41
103,3.31,-2.25,0.87,338.79,2016-12-21 06:52:42
104,2.52,-1.84,1.36,338.8,2016-12-21 06:52:42
105,2.36,-1.42,1.21,338.73,2016-12-21 06:52:42
106,2.15,-1.47,0.77,338.84,2016-12-21 06:52:42
107,1.86,-1.79,0.77,338.72,2016-12-21 06:52:43
108,1.93,-1.6,1.02,338.73,2016-12-21 06:52:43
109,2.2,-1.3,1.73,338.72,2016-12-21 06:52:43
110,2.57,-1.21,1.44,338.75,2016-12-21 06:52:43
111,2.95,-1.76,1.21,338.7,2016-12-21 06:52:44
112,2.54,-1.33,1.3,338.83,2016-12-21 06:52:44
113,2.24,-1.13,1.88,338.76,2016-12-21 06:52:44
114,3.04,-1.15,2.09,338.77,2016-12-21 06:52:44
115,3.82,-0.92,1.19,338.71,2016-12-21 06:52:45
116,3.28,-1.31,1.34,338.74,2016-12-21 06:52:45
117,2.91,-0.66,1.94,338.76,2016-12-21 06:52:45
118,2.28,-1.07,1.67,338.74,2016-12-21 06:52:45
119,2.52,-0.55,2.06,338.68,2016-12-21 06:52:46
120,2.49,-1.31,2.44,338.72,2016-12-21 06:52:46
121,3.82,-1.21,2.24,338.78,2016-12-21 06:52:46
122,2.08,-0.99,1.59,338.86,2016-12-21 06:52:46
123,2.45,-0.87,2.72,338.76,2016-12-21 06:52:47
124,1.62,-1.69,2.32,338.77,2016-12-21 06:52:47
125,3.11,-1.8,2.3,338.9,2016-12-21 06:52:47
126,2.54,-2.43,2.27,338.86,2016-12-21 06:52:47
127,2.36,-1.34,1.81,338.83,2016-12-21 06:52:48
128,1.93,-1.24,2.33,338.8,2016-12-21 06:52:48
129,1.74,-0.58,2.51,338.77,2016-12-21 06:52:48
130,1.6,-0.42,2.41,338.72,2016-12-21 06:52:48
131,1.65,0.13,1.22,338.82,2016-12-21 06:52:49
132,1.25,-1.74,2.18,338.9,2016-12-21 06:52:49
133,1.48,-1.2,2.28,338.7,2016-12-21 06:52:49
134,1.98,-0.15,2.39,338.75,2016-12-21 06:52:49
135,3.36,1.14,1.69,338.82,2016-12-21 06:52:50
136,4.86,1.32,2.56,338.85,2016-12-21 06:52:50
137,4.17,1.09,2.12,338.82,2016-12-21 06:52:50
138,3.63,0.88,1.77,338.82,2016-12-21 06:52:50
139,3.31,1.23,1.77,338.91,2016-12-21 06:52:51
140,4.25,1.43,2.54,338.81,2016-12-21 06:52:51
141,3.91,1.67,2.71,338.9,2016-12-21 06:52:51
142,4.3,1.7,1.96,338.95,2016-12-21 06:52:51
143,3.18,2.04,1.37,338.81,2016-12-21 06:52:52
144,3.59,0.19,1.16,338.83,2016-12-21 06:52:52
145,3.59,-0.13,1.58,338.9,2016-12-21 06:52:52
146,4.2,0.22,1.63,338.83,2016-12-21 06:52:52
147,4.53,1.47,1.32,338.98,2016-12-21 06:52:53
148,4.16,1.78,1.8,339.0,2016-12-21 06:52:53
149,3.87,1.21,1.41,339.01,2016-12-21 06:52:53
150,4.69,0.41,1.98,339.14,2016-12-21 06:52:53
151,3.38,0.53,0.66,339.08,2016-12-21 06:52:54
152,4.04,0.33,1.67,338.91,2016-12-21 06:52:54
153,3.09,0.77,1.15,338.93,2016-12-21 06:52:54
154,3.61,0.66,1.24,339.06,2016-12-21 06:52:54
155,4.2,1.54,1.89,339.16,2016-12-21 06:52:55
156,3.15,0.8,1.55,339.23,2016-12-21 06:52:55
157,2.96,0.37,1.79,339.07,2016-12-21 06:52:55
158,3.17,-0.58,1.57,338.99,2016-12-21 06:52:55
159,3.7,-0.81,1.17,339.02,2016-12-21 06:52:56
160,3.43,-0.68,1.33,338.99,2016-12-21 06:52:56
161,3.49,-0.46,1.53,338.99,2016-12-21 06:52:56
162,4.21,0.31,1.63,339.02,2016-12-21 06:52:56
163,4.1,0.68,1.68,339.04,2016-12-21 06:52:57
164,3.68,2.21,2.85,338.95,2016-12-21 06:52:57
165,3.82,0.79,2.35,338.86,2016-12-21 06:52:57
166,3.8,0.19,2.12,338.81,2016-12-21 06:52:57
167,4.47,0.21,2.08,338.86,2016-12-21 06:52:58
168,4.11,-0.03,2.44,338.86,2016-12-21 06:52:58
169,4.11,0.35,2.27,338.91,2016-12-21 06:52:58
170,4.23,0.57,2.85,338.82,2016-12-21 06:52:58
171,3.5,0.05,2.84,338.86,2016-12-21 06:52:59
172,4.53,-0.13,3.39,338.8,2016-12-21 06:52:59
173,4.85,-0.61,1.12,338.86,2016-12-21 06:52:59
174,4.63,-0.65,1.11,338.79,2016-12-21 06:52:59
175,4.08,-0.84,0.84,338.84,2016-12-21 06:53:00
176,3.46,-0.76,1.3,338.85,2016-12-21 06:53:00
177,4.29,-0.95,0.87,338.8,2016-12-21 06:53:00
178,3.59,-0.55,1.4,338.87,2016-12-21 06:53:00
179,3.36,-0.94,1.23,338.91,2016-12-21 06:53:01
180,2.49,-1.6,0.65,338.85,2016-12-21 06:53:01
181,3.21,-1.11,1.1,338.91,2016-12-21 06:53:01
182,2.32,-1.02,2.22,338.88,2016-12-21 06:53:01
183,2.03,-0.72,2.92,338.86,2016-12-21 06:53:02
184,2.86,1.02,2.65,338.78,2016-12-21 06:53:02
185,2.94,0.02,2.75,338.76,2016-12-21 06:53:02
186,3.53,-0.22,0.94,338.81,2016-12-21 06:53:02
187,3.79,0.83,1.65,338.85,2016-12-21 06:53:03
188,4.02,-0.15,1.3,338.81,2016-12-21 06:53:03
189,3.64,-0.03,1.54,338.81,2016-12-21 06:53:03
190,3.39,-0.27,1.29,338.8,2016-12-21 06:53:03
191,3.76,0.31,1.69,338.77,2016-12-21 06:53:04
192,3.42,0.37,1.77,338.84,2016-12-21 06:53:04
193,4.02,0.05,2.09,338.74,2016-12-21 06:53:04
194,3.83,0.18,1.44,338.8,2016-12-21 06:53:04
195,3.96,0.73,1.75,338.69,2016-12-21 06:53:05
196,3.53,0.76,2.01,338.74,2016-12-21 06:53:05
197,3.36,0.87,1.88,338.73,2016-12-21 06:53:05
198,3.58,0.2,1.59,338.76,2016-12-21 06:53:05
199,3.21,0.34,1.64,338.77,2016-12-21 06:53:06
200,3.51,-0.47,1.11,338.77,2016-12-21 06:53:06
201,3.77,-0.28,1.45,338.75,2016-12-21 06:53:06
202,3.67,-0.38,1.32,338.73,2016-12-21 06:53:06
203,3.6,-0.23,1.73,338.72,2016-12-21 06:53:07
204,3.41,-0.61,1.7,338.74,2016-12-21 06:53:07
205,3.14,-0.37,1.42,338.74,2016-12-21 06:53:07
206,3.52,-0.17,1.52,338.75,2016-12-21 06:53:07
207,2.68,-0.46,1.19,338.73,2016-12-21 06:53:08
208,3.62,-1.69,1.06,338.74,2016-12-21 06:53:08
209,3.28,-1.54,1.03,338.73,2016-12-21 06:53:08
210,4.28,-0.55,1.48,338.75,2016-12-21 06:53:08
211,3.9,-0.88,1.22,338.79,2016-12-21 06:53:09
212,3.23,-0.87,1.89,338.77,2016-12-21 06:53:09
213,3.21,-1.25,2.07,338.74,2016-12-21 06:53:09
214,3.26,-1.02,2.14,338.7,2016-12-21 06:53:09
215,3.08,-1.0,1.47,338.78,2016-12-21 06:53:10
216,2.66,-0.85,1.23,338.82,2016-12-21 06:53:10
217,2.69,-1.16,1.53,338.79,2016-12-21 06:53:10
218,2.89,-0.59,1.23,338.78,2016-12-21 06:53:10
219,3.24,0.69,0.93,338.79,2016-12-21 06:53:11
220,2.05,0.32,2.18,338.81,2016-12-21 06:53:11
221,2.99,1.02,2.0,338.71,2016-12-21 06:53:11
222,3.05,1.02,1.89,338.8,2016-12-21 06:53:11
223,2.82,0.37,0.73,338.81,2016-12-21 06:53:12
224,2.97,-1.34,1.16,338.83,2016-12-21 06:53:12
225,2.84,-0.57,0.83,338.83,2016-12-21 06:53:12
226,2.66,-0.88,1.9,338.79,2016-12-21 06:53:12
227,3.82,0.64,1.06,338.84,2016-12-21 06:53:13
228,3.58,-0.59,1.69,338.84,2016-12-21 06:53:13
229,3.38,-1.67,1.98,338.79,2016-12-21 06:53:13
230,3.64,-0.36,0.69,338.8,2016-12-21 06:53:13
231,2.19,-0.7,0.18,338.93,2016-12-21 06:53:14
232,1.89,-0.47,1.59,338.86,2016-12-21 06:53:14
233,2.16,-0.95,1.69,338.81,2016-12-21 06:53:14
234,2.82,-0.34,0.99,338.84,2016-12-21 06:53:14
235,1.93,-0.36,0.9,338.87,2016-12-21 06:53:15
236,1.38,0.21,1.83,338.8,2016-12-21 06:53:15
237,1.99,0.38,1.2,338.82,2016-12-21 06:53:15
238,2.04,-0.07,0.46,338.88,2016-12-21 06:53:15
239,2.76,-0.27,1.37,338.83,2016-12-21 06:53:16
240,2.41,-0.86,1.5,338.83,2016-12-21 06:53:16
241,1.7,-1.02,1.99,338.75,2016-12-21 06:53:16
242,1.42,-0.93,1.98,338.8,2016-12-21 06:53:16
243,0.72,-0.39,2.11,338.81,2016-12-21 06:53:17
244,1.5,-0.34,2.51,338.83,2016-12-21 06:53:17
245,1.5,0.48,1.97,338.84,2016-12-21 06:53:17
246,4.03,-0.83,1.85,338.79,2016-12-21 06:53:17
247,2.38,-0.73,1.56,338.86,2016-12-21 06:53:18
248,2.48,-0.61,0.87,338.85,2016-12-21 06:53:18
249,3.25,0.72,1.8,338.86,2016-12-21 06:53:18
250,3.46,-1.05,1.3,338.9,2016-12-21 06:53:18
251,2.64,-0.21,0.67,338.82,2016-12-21 06:53:19
252,4.1,-0.27,1.32,338.83,2016-12-21 06:53:19
253,3.77,-1.41,1.71,338.84,2016-12-21 06:53:19
254,3.53,-1.02,1.53,338.86,2016-12-21 06:53:19
255,3.93,-1.42,1.42,338.83,2016-12-21 06:53:20
256,3.79,-1.26,2.32,338.8,2016-12-21 06:53:20
257,3.43,-0.95,2.15,338.82,2016-12-21 06:53:20
258,2.93,-0.65,2.11,338.88,2016-12-21 06:53:20
259,2.99,-1.12,2.44,338.79,2016-12-21 06:53:21
260,1.55,-0.31,2.59,338.82,2016-12-21 06:53:21
261,1.13,-0.93,1.13,338.87,2016-12-21 06:53:21
262,3.03,-2.39,1.72,338.77,2016-12-21 06:53:21
263,3.03,-2.21,1.1,338.86,2016-12-21 06:53:22
264,3.02,-2.68,0.28,338.8,2016-12-21 06:53:22
265,3.23,-2.79,0.23,338.78,2016-12-21 06:53:22
266,2.14,-1.95,1.43,338.82,2016-12-21 06:53:22
267,2.04,-2.28,0.84,338.84,2016-12-21 06:53:23
268,3.43,-2.23,0.11,338.85,2016-12-21 06:53:23
269,3.56,-1.7,0.78,338.85,2016-12-21 06:53:23
270,3.14,-2.48,-0.04,338.79,2016-12-21 06:53:23
271,3.19,-2.17,0.05,338.82,2016-12-21 06:53:24
272,3.07,-1.24,-0.13,338.81,2016-12-21 06:53:24
273,2.73,-1.09,0.43,338.78,2016-12-21 06:53:24
274,2.5,-0.69,0.64,338.82,2016-12-21 06:53:24
275,2.3,-0.12,0.78,338.81,2016-12-21 06:53:25
276,2.84,-0.49,0.89,338.8,2016-12-21 06:53:25
277,3.23,-0.7,1.14,338.83,2016-12-21 06:53:25
278,2.54,-0.08,0.39,338.86,2016-12-21 06:53:25
279,2.67,-0.32,0.84,338.75,2016-12-21 06:53:26
280,2.23,0.15,1.49,338.8,2016-12-21 06:53:26
281,2.99,-0.29,1.5,338.79,2016-12-21 06:53:26
282,2.77,-0.18,1.68,338.82,2016-12-21 06:53:26
283,2.65,-0.04,1.51,338.87,2016-12-21 06:53:27
284,3.66,0.65,1.55,338.81,2016-12-21 06:53:27
285,3.91,0.95,1.79,338.79,2016-12-21 06:53:27
286,3.93,0.83,1.91,338.78,2016-12-21 06:53:27
287,3.55,0.4,1.55,338.82,2016-12-21 06:53:28
288,3.02,-0.27,0.76,338.82,2016-12-21 06:53:28
289,2.95,-0.55,1.55,338.9,2016-12-21 06:53:28
290,2.98,-1.46,2.1,338.82,2016-12-21 06:53:28
291,1.66,-0.84,3.23,338.81,2016-12-21 06:53:29
292,2.31,-0.64,2.52,338.81,2016-12-21 06:53:29
293,1.68,0.7,1.33,338.79,2016-12-21 06:53:29
294,2.12,0.85,2.19,338.77,2016-12-21 06:53:29
295,2.99,-0.08,0.68,338.8,2016-12-21 06:53:30
296,3.32,-0.18,0.27,338.8,2016-12-21 06:53:30
297,2.82,-0.56,1.47,338.83,2016-12-21 06:53:30
298,3.58,-0.06,0.58,338.81,2016-12-21 06:53:30
299,3.6,-0.11,0.62,338.77,2016-12-21 06:53:31
300,2.45,-1.28,1.14,338.85,2016-12-21 06:53:31
301,2.64,-1.15,1.75,338.75,2016-12-21 06:53:31
302,2.58,0.43,1.7,338.8,2016-12-21 06:53:31
303,2.5,0.08,1.1,338.82,2016-12-21 06:53:32
304,2.53,-0.11,1.61,338.81,2016-12-21 06:53:32
305,2.72,-0.87,1.97,338.82,2016-12-21 06:53:32
306,2.3,-0.65,1.81,338.81,2016-12-21 06:53:32
307,2.45,-1.04,2.17,338.81,2016-12-21 06:53:33
308,2.12,-0.63,2.23,338.84,2016-12-21 06:53:33
309,1.44,-0.91,2.21,338.76,2016-12-21 06:53:33
310,1.02,-0.36,2.16,338.83,2016-12-21 06:53:33
311,2.4,-0.1,2.15,338.83,2016-12-21 06:53:34
312,2.2,0.19,2.37,338.73,2016-12-21 06:53:34
313,2.36,-0.7,1.47,338.77,2016-12-21 06:53:34
314,4.67,-0.39,1.64,338.73,2016-12-21 06:53:34
315,5.3,-0.39,1.18,338.73,2016-12-21 06:53:35
316,5.19,-0.89,0.98,338.79,2016-12-21 06:53:35
317,5.38,-1.39,1.8,338.69,2016-12-21 06:53:35
318,4.02,-0.83,2.6,338.75,2016-12-21 06:53:35
319,5.39,0.72,2.03,338.79,2016-12-21 06:53:36
320,5.0,0.96,2.56,338.76,2016-12-21 06:53:36
321,4.77,0.54,2.22,338.71,2016-12-21 06:53:36
322,5.07,-0.09,2.17,338.75,2016-12-21 06:53:36
323,4.46,-0.35,2.39,338.74,2016-12-21 06:53:37
324,4.86,-1.13,1.66,338.74,2016-12-21 06:53:37
325,4.61,-0.31,1.25,338.76,2016-12-21 06:53:37
326,4.36,2.88,1.44,338.67,2016-12-21 06:53:37
327,4.69,1.19,0.99,338.74,2016-12-21 06:53:38
328,4.55,-0.33,1.0,338.75,2016-12-21 06:53:38
329,5.13,2.62,2.52,338.76,2016-12-21 06:53:38
330,3.14,1.29,2.14,338.73,2016-12-21 06:53:38
331,4.2,-0.74,0.78,338.75,2016-12-21 06:53:39
332,3.77,-1.01,1.03,338.78,2016-12-21 06:53:39
333,4.21,-0.8,0.8,338.75,2016-12-21 06:53:39
334,4.08,-0.18,1.87,338.78,2016-12-21 06:53:39
335,3.93,-1.37,0.96,338.78,2016-12-21 06:53:40
336,3.34,-0.43,1.22,338.73,2016-12-21 06:53:40
337,3.71,-1.34,1.93,338.72,2016-12-21 06:53:40
338,3.56,-0.69,1.82,338.71,2016-12-21 06:53:40
339,4.17,-0.47,1.75,338.73,2016-12-21 06:53:41
340,4.8,-0.09,1.68,338.75,2016-12-21 06:53:41
341,4.53,0.16,1.74,338.72,2016-12-21 06:53:41
342,3.92,-0.85,0.97,338.73,2016-12-21 06:53:41
343,3.6,-0.83,1.25,338.75,2016-12-21 06:53:42
344,3.81,-0.4,1.57,338.73,2016-12-21 06:53:42
345,3.78,-1.04,1.22,338.7,2016-12-21 06:53:42
346,3.76,-0.81,1.17,338.77,2016-12-21 06:53:42
347,3.5,-0.87,1.25,338.78,2016-12-21 06:53:43
348,3.28,-0.66,1.16,338.77,2016-12-21 06:53:43
349,3.38,0.11,1.42,338.7,2016-12-21 06:53:43
350,3.25,-0.69,1.5,338.74,2016-12-21 06:53:43
351,2.97,-1.2,1.46,338.75,2016-12-21 06:53:44
352,3.37,-0.42,1.33,338.76,2016-12-21 06:53:44
353,3.41,-1.11,1.57,338.73,2016-12-21 06:53:44
354,3.19,-1.15,1.48,338.7,2016-12-21 06:53:44
355,2.86,-1.42,1.56,338.73,2016-12-21 06:53:45
356,3.18,-1.74,1.45,338.72,2016-12-21 06:53:45
357,3.26,-1.53,1.21,338.76,2016-12-21 06:53:45
358,3.21,-1.48,1.25,338.77,2016-12-21 06:53:45
359,3.19,-1.78,1.39,338.74,2016-12-21 06:53:46
360,3.32,-1.54,1.65,338.72,2016-12-21 06:53:46
361,3.16,-2.1,1.12,338.76,2016-12-21 06:53:46
362,2.67,-1.63,1.68,338.71,2016-12-21 06:53:46
363,2.83,-1.05,1.99,338.72,2016-12-21 06:53:47
364,2.82,0.02,2.58,338.72,2016-12-21 06:53:47
365,3.5,-0.59,1.67,338.77,2016-12-21 06:53:47
366,2.91,-0.45,1.89,338.75,2016-12-21 06:53:47
367,3.17,-1.08,1.15,338.76,2016-12-21 06:53:48
368,3.23,-1.13,1.53,338.79,2016-12-21 06:53:48
369,3.13,-0.59,2.34,338.8,2016-12-21 06:53:48
370,4.19,-0.7,0.9,338.87,2016-12-21 06:53:48
371,3.82,-0.66,1.51,338.83,2016-12-21 06:53:49
372,3.98,-0.12,1.97,338.79,2016-12-21 06:53:49
373,3.62,-0.18,1.32,338.86,2016-12-21 06:53:49
374,3.95,0.04,0.9,338.83,2016-12-21 06:53:49
375,3.14,-0.57,1.77,338.74,2016-12-21 06:53:50
376,3.87,0.24,1.81,338.78,2016-12-21 06:53:50
377,3.84,-0.37,1.94,338.72,2016-12-21 06:53:50
378,3.51,-0.26,2.57,338.77,2016-12-21 06:53:50
379,3.67,-0.47,2.29,338.77,2016-12-21 06:53:51
380,4.15,-0.5,2.49,338.75,2016-12-21 06:53:51
381,4.49,-2.05,1.59,338.72,2016-12-21 06:53:51
382,4.26,-1.98,2.24,338.78,2016-12-21 06:53:51
383,4.11,-2.07,1.64,338.76,2016-12-21 06:53:52
384,3.7,-1.74,1.78,338.71,2016-12-21 06:53:52
385,3.97,-1.94,2.37,338.72,2016-12-21 06:53:52
386,3.62,-1.65,3.0,338.75,2016-12-21 06:53:52
387,4.12,-2.0,2.2,338.75,2016-12-21 06:53:53
388,4.22,-1.9,1.99,338.74,2016-12-21 06:53:53
389,3.99,-1.93,2.33,338.75,2016-12-21 06:53:53
390,3.68,-2.09,1.85,338.72,2016-12-21 06:53:53
391,3.27,-2.32,1.77,338.73,2016-12-21 06:53:54
392,3.21,-1.8,2.27,338.75,2016-12-21 06:53:54
393,2.18,-2.46,2.45,338.66,2016-12-21 06:53:54
394,2.17,-2.83,1.55,338.72,2016-12-21 06:53:54
395,2.43,-3.46,0.54,338.71,2016-12-21 06:53:55
396,2.99,-2.38,0.49,338.83,2016-12-21 06:53:55
397,1.17,-2.46,0.71,338.81,2016-12-21 06:53:55
398,1.42,-2.5,1.47,338.78,2016-12-21 06:53:55
399,1.7,-3.04,0.81,338.76,2016-12-21 06:53:56
400,2.61,-3.83,0.16,338.83,2016-12-21 06:53:56
401,2.67,-3.33,1.54,338.78,2016-12-21 06:53:56
402,1.98,-2.51,0.99,338.76,2016-12-21 06:53:56
403,2.93,-2.01,1.73,338.75,2016-12-21 06:53:57
404,2.74,-2.64,1.75,338.75,2016-12-21 06:53:57
405,2.19,-2.38,1.89,338.73,2016-12-21 06:53:57
406,1.42,-3.39,2.05,338.72,2016-12-21 06:53:57
407,1.5,-3.34,1.42,338.75,2016-12-21 06:53:58
408,2.63,-2.99,2.08,338.72,2016-12-21 06:53:58
409,1.36,-2.28,2.87,338.86,2016-12-21 06:53:58
410,0.11,-2.96,1.17,338.79,2016-12-21 06:53:58
411,0.51,-4.96,2.45,338.61,2016-12-21 06:53:59
412,-0.93,-4.68,2.19,338.7,2016-12-21 06:53:59
413,0.69,-2.78,1.72,338.81,2016-12-21 06:53:59
414,2.65,-3.17,0.7,338.86,2016-12-21 06:53:59
415,-0.5,-4.03,1.65,338.73,2016-12-21 06:54:00
416,-0.41,-5.37,1.01,338.71,2016-12-21 06:54:00
417,0.62,-5.28,2.14,338.6,2016-12-21 06:54:00
418,-3.71,-5.35,1.15,338.75,2016-12-21 06:54:00
419,2.03,-3.32,0.54,338.72,2016-12-21 06:54:01
420,2.78,-0.14,-1.02,338.79,2016-12-21 06:54:01
421,2.6,-1.94,-0.66,338.73,2016-12-21 06:54:01
422,4.77,-3.94,-0.38,338.76,2016-12-21 06:54:01
423,4.22,-3.69,2.2,338.83,2016-12-21 06:54:02
424,3.3,-2.04,1.75,338.77,2016-12-21 06:54:02
425,3.01,-2.61,1.05,338.84,2016-12-21 06:54:02
426,1.22,-5.11,-0.06,338.69,2016-12-21 06:54:02
427,-0.62,-5.15,4.1,338.71,2016-12-21 06:54:03
428,0.22,-3.15,1.6,338.79,2016-12-21 06:54:03
429,2.62,-3.56,2.58,338.7,2016-12-21 06:54:03
430,2.92,-3.33,1.99,338.68,2016-12-21 06:54:03
431,3.06,-3.69,2.13,338.71,2016-12-21 06:54:04
432,2.89,-3.35,2.36,338.83,2016-12-21 06:54:04
433,2.62,-2.78,2.1,338.72,2016-12-21 06:54:04
434,2.36,-3.26,2.12,338.8,2016-12-21 06:54:04
435,1.31,-2.83,3.67,338.78,2016-12-21 06:54:05
436,2.9,-2.53,2.44,338.76,2016-12-21 06:54:05
437,2.99,-2.83,2.34,338.74,2016-12-21 06:54:05
